UWWTD Code,Name,Direct Distance to Power Network [km],Power Network Type,Nearest Line Voltage [kV],Distance to Nearest Substation [km],Nearest Substation Name,Substation Voltage [kV]
ATTP_6-M3489301R0,Graz-Gössendorf,0.269,line,110,8.65,Schloss Waasen,400
ATTP_4-41003001,Asten - Regionalkläranlage,0.264,line,110,2.702,Umspannwerk Tillysburg,110
ATTP_7-7101301,Innsbruck,0.097,line,110,1.553,Umspannwerk Ost,110
ATTP_3-11,ARA AWV Schwechat,2.517,cable,110,0.477,1170732043,400
ATTP_6-M3631054R0,Gratkorn,0.058,line,110,1.367,Umspannwerk Gratkorn,110
ATTP_8-Meiningen,Meiningen,0.178,line,220,2.474,Umspannwerk Weiler - Klaus,110
ATTP_5-A1699622R154,ARA Siggerwiesen,0.766,line,110,3.301,Umspannwerk Hagenau,110
BGWT07079_00_01,UWWTP Burgas,0.531,line,110,5.927,Подстанция Лукойл Нефтохим Бургас,110
BGWT10135_00_01,UWWTP Varna,1.016,line,110,7.414,Подстанция Белослав,110
BEBRU2,Bruxelles-nord,0.648,line,150,1.774,Machelen,150
BGWT56784_00_01,UWWTP Plovdiv,0.282,line,110,3.398,Подстанция Евмолпия,110
BERW6207901,LIEGE OUPEYE,0.215,cable,320,3.416,150 kV Lixhe,150
BGWT68134_00_01,UWWTP Sofia,0.634,line,110,4.899,Подстанция Хаджи Димитър,110
ATTP_9-HKA-Simmering,Hauptkläranlage Wien,0.422,line,110,1.881,Umspannwerk Kaiserebersdorf,110
CZ3209-721981-00075370-4/1U,COV Plzen,1.181,line,110,0.928,109307422,400
CZ6203-697931-46347275-4/1U,COV Brno - Modrice,0.445,line,110,1.043,TS 707729,400
CZ1100-730106-00064581-4/1U,UCOV Praha,0.962,minor_line,400,3.092,TS4415,400
DETP_BB239,Stahnsdorf,1.833,line,110,2.804,Teltow,110
CZ4205-763691-26161516-4/1U,COV Steti -Papirny Mondi,0.915,line,110,10.607,rozvodna Roudnice,110
CZ8119-713767-00845451-4/1U,UCOV Ostrava - Privoz,0.313,line,110,3.646,Třebovice,110
DETP_BE01,Ruhleben,0.431,line,380,0.203,Umspannwerk Klärwerk Ruhleben,110
DETP_BE02,Schönerlinde,0.831,line,380,3.619,Schönwalde,110
DETP_BE03,Waßmannsdorf,0.268,line,220,1.563,Umspannwerk Schönefeld Nord,110
DETP_BW1115100000001,Hauptklärwerk Mühlhausen,0.075,line,110,4.214,Waiblingen 2,110
DETP_BW1175100000062,Göppingen,0.625,line,110,1.307,263562753,230
DETP_BW1215100000017,SKA Heilbronn,0.423,line,110,5.475,150399868,110
DETP_BW2125100000014,SKA Karlsruhe Neureut,1.116,cable,750,0.928,Umspannwerk Heide,110
DETP_BW3165100000008,SKA AZV BREISGAUER BUCHT - KA FORCHHEIM,2.175,line,380,4.106,Umspannwerk Endingen,110
DETP_BYAB-K0033,Würzburg,0.339,line,110,0.602,Umspannwerk Dürrbachau,110
DETP_BW2225100000001,Kläranlage Mannheim,1.465,minor_line,400,2.128,Sa 60,400
DETP_BW2215100000002,SKA AZV Heidelberg,2.427,line,110,2.431,Netze BW Umspannwerk Dossenheim,110
DETP_BYDON-K0001,Augsburg,0.145,line,110,2.432,Umspannwerk Augsburg-Nord,110
DETP_BYDON-K0220,Zweckverband Klärwerk Steinhäule,1.35,line,110,3.277,Umspannwerk Neu-Ulm Ost,110
DETP_BYM-K0001,München II - Gut Marienhof,0.211,line,110,5.654,85284549,110
DETP_BYRO-K0001,Rosenheim,1.518,line,110,2.45,TS Am Anger,110
DETP_BYM-K0083,AZV Erdinger Moos,0.088,line,380,2.415,Kraftwerk Eitting,110
DETP_BYN-K0002,Erlangen,0.173,line,110,3.047,Umspannwerk Mozartstraße,110
DETP_HB18-1,Kläranlage Seehausen,1.261,cable,110,1.41,48950921,110
DETP_NI201000201,2530002102 KA Herrenhausen,0.506,cable,110,4.119,929692937,110
DETP_HH4/4 AI 3,Klärwerksverbund Köhlbrandhöft Dradenau,0.211,line,110,0.372,Altenwerder,110
DETP_HE064140000101,Wiesbaden / Mitte,0.421,line,110,0.929,24437487,110
DETP_HE064120006011,Frankfurt am Main / Sindlingen,0.396,line,110,1.432,Schwanheim (vorh. Höchst Süd Neu),380
DETP_NI253014201,2530142095 KA Gümmerwald,1.223,line,110,3.924,Blumenau,110
DETP_NI255023201,2550232001 KA Holzminden,2.74,line,110,2.043,700164540,400
DETP_NI352011201,3520112001 KA Cuxhaven,2.048,minor_line,400,2.102,Industriestraße,110
DETP_NW1,Aachen-Soers,0.582,line,110,1.221,24507338,110
DETP_NW1502,Bottrop,0.795,line,380,0.868,Station Karnap,380
DETP_NW1805,Köln Stammheim,1.756,line,110,1.958,Station Bayer X 36,220
DETP_NW1204,Dortmund-Deusen,0.107,line,110,0.6,Hafen,110
DETP_NW2101,Düsseldorf-Nord,2.574,line,220,4.741,Station Osterath,220
DETP_NW2104,Mönchengladbach GWK I,1.18,line,110,5.737,Korschenbroich,110
DETP_NW2102,Krefeld,0.652,line,380,1.117,Uerdingen,220
DETP_NW3008,Münster-Hauptkläranlage,0.611,line,110,3.418,Nord,110
DETP_NW2138,Neuss-Ost,0.602,cable,110,1.071,Station Neuss Memeler Straße,110
DETP_NW316,Abwasserverband Obere Lutter,0.101,line,380,1.353,1080578819,400
