EIC;timestamp_utc;ct_kWh;minutes
10Y1001A1001A74G;2023-12-31 23:00:00+00:00;10.709;60
10Y1001A1001A74G;2024-01-01 00:00:00+00:00;10.4;60
10Y1001A1001A74G;2024-01-01 01:00:00+00:00;10.0;60
10Y1001A1001A74G;2024-01-01 02:00:00+00:00;8.565999999999999;60
10Y1001A1001A74G;2024-01-01 03:00:00+00:00;8.5;60
10Y1001A1001A74G;2024-01-01 04:00:00+00:00;8.553;60
10Y1001A1001A74G;2024-01-01 05:00:00+00:00;9.507;60
10Y1001A1001A74G;2024-01-01 06:00:00+00:00;10.407;60
10Y1001A1001A74G;2024-01-01 07:00:00+00:00;10.695;60
10Y1001A1001A74G;2024-01-01 08:00:00+00:00;10.708;60
10Y1001A1001A74G;2024-01-01 09:00:00+00:00;10.4;60
10Y1001A1001A74G;2024-01-01 10:00:00+00:00;9.812999999999999;60
10Y1001A1001A74G;2024-01-01 11:00:00+00:00;10.155;60
10Y1001A1001A74G;2024-01-01 12:00:00+00:00;9.815999999999999;60
10Y1001A1001A74G;2024-01-01 13:00:00+00:00;9.817;60
10Y1001A1001A74G;2024-01-01 14:00:00+00:00;10.554;60
10Y1001A1001A74G;2024-01-01 15:00:00+00:00;11.0;60
10Y1001A1001A74G;2024-01-01 16:00:00+00:00;12.004000000000001;60
10Y1001A1001A74G;2024-01-01 17:00:00+00:00;13.15;60
10Y1001A1001A74G;2024-01-01 18:00:00+00:00;13.2;60
10Y1001A1001A74G;2024-01-01 19:00:00+00:00;12.775;60
10Y1001A1001A74G;2024-01-01 20:00:00+00:00;11.348;60
10Y1001A1001A74G;2024-01-01 21:00:00+00:00;10.918000000000001;60
10Y1001A1001A74G;2024-01-01 22:00:00+00:00;10.72;60
10Y1001A1001A74G;2024-01-01 23:00:00+00:00;10.549;60
10Y1001A1001A74G;2024-01-02 00:00:00+00:00;9.009;60
10Y1001A1001A74G;2024-01-02 01:00:00+00:00;8.427;60
10Y1001A1001A74G;2024-01-02 04:00:00+00:00;10.0;60
10Y1001A1001A74G;2024-01-02 05:00:00+00:00;10.828;60
10Y1001A1001A74G;2024-01-02 06:00:00+00:00;11.385;60
