EIC;timestamp_utc;ct_kWh;minutes
10YAT-APG------L;2023-12-31 23:00:00+00:00;1.408;15
10YAT-APG------L;2023-12-31 23:00:00+00:00;0.01;60
10YAT-APG------L;2023-12-31 23:30:00+00:00;0.048;15
10YAT-APG------L;2023-12-31 23:45:00+00:00;-0.364;15
10YAT-APG------L;2024-01-01 00:00:00+00:00;0.001;60
10YAT-APG------L;2024-01-01 00:00:00+00:00;1.7739999999999998;15
10YAT-APG------L;2024-01-01 00:15:00+00:00;1.494;15
10YAT-APG------L;2024-01-01 00:30:00+00:00;-0.274;15
10YAT-APG------L;2024-01-01 00:45:00+00:00;-1.491;15
10YAT-APG------L;2024-01-01 01:00:00+00:00;1.509;15
10YAT-APG------L;2024-01-01 01:00:00+00:00;0.002;60
10YAT-APG------L;2024-01-01 01:15:00+00:00;0.998;15
10YAT-APG------L;2024-01-01 01:30:00+00:00;-0.269;15
10YAT-APG------L;2024-01-01 01:45:00+00:00;-1.092;15
10YAT-APG------L;2024-01-01 02:00:00+00:00;0.998;15
10YAT-APG------L;2024-01-01 02:00:00+00:00;0.0;60
10YAT-APG------L;2024-01-01 02:15:00+00:00;0.493;15
10YAT-APG------L;2024-01-01 02:30:00+00:00;-0.02;15
10YAT-APG------L;2024-01-01 02:45:00+00:00;-0.523;15
10YAT-APG------L;2024-01-01 03:00:00+00:00;-0.001;60
10YAT-APG------L;2024-01-01 03:00:00+00:00;-0.46399999999999997;15
10YAT-APG------L;2024-01-01 03:15:00+00:00;-0.128;15
10YAT-APG------L;2024-01-01 03:30:00+00:00;0.493;15
10YAT-APG------L;2024-01-01 03:45:00+00:00;0.998;15
10YAT-APG------L;2024-01-01 04:00:00+00:00;-0.993;15
10YAT-APG------L;2024-01-01 04:15:00+00:00;-0.585;15
10YAT-APG------L;2024-01-01 04:30:00+00:00;-0.458;15
10YAT-APG------L;2024-01-01 04:45:00+00:00;0.836;15
10YAT-APG------L;2024-01-01 05:00:00+00:00;-1.722;15
10YAT-APG------L;2024-01-01 05:00:00+00:00;0.0;60
10YAT-APG------L;2024-01-01 05:15:00+00:00;-1.092;15
10YAT-APG------L;2024-01-01 05:30:00+00:00;-0.576;15
10YAT-APG------L;2024-01-01 05:45:00+00:00;1.509;15
10YAT-APG------L;2024-01-01 06:00:00+00:00;-2.152;15
10YAT-APG------L;2024-01-01 06:15:00+00:00;-0.493;15
10YAT-APG------L;2024-01-01 06:30:00+00:00;1.509;15
10YAT-APG------L;2024-01-01 06:45:00+00:00;3.136;15
10YAT-APG------L;2024-01-01 07:00:00+00:00;-1.669;15
10YAT-APG------L;2024-01-01 07:15:00+00:00;-0.16399999999999998;15
10YAT-APG------L;2024-01-01 07:30:00+00:00;1.408;15
10YAT-APG------L;2024-01-01 07:45:00+00:00;1.752;15
10YAT-APG------L;2024-01-01 08:00:00+00:00;0.45899999999999996;15
10YAT-APG------L;2024-01-01 08:00:00+00:00;0.004;60
10YAT-APG------L;2024-01-01 08:15:00+00:00;0.371;15
10YAT-APG------L;2024-01-01 08:30:00+00:00;1.001;15
10YAT-APG------L;2024-01-01 08:45:00+00:00;0.16999999999999998;15
10YAT-APG------L;2024-01-01 09:00:00+00:00;0.006;60
10YAT-APG------L;2024-01-01 09:00:00+00:00;1.277;15
10YAT-APG------L;2024-01-01 09:15:00+00:00;0.5269999999999999;15
10YAT-APG------L;2024-01-01 09:30:00+00:00;0.05500000000000001;15
10YAT-APG------L;2024-01-01 09:45:00+00:00;-0.9970000000000001;15
10YAT-APG------L;2024-01-01 10:00:00+00:00;1.509;15
10YAT-APG------L;2024-01-01 10:00:00+00:00;0.054000000000000006;60
10YAT-APG------L;2024-01-01 10:15:00+00:00;0.393;15
10YAT-APG------L;2024-01-01 10:30:00+00:00;-1.092;15
10YAT-APG------L;2024-01-01 11:00:00+00:00;0.22400000000000003;60
10YAT-APG------L;2024-01-01 11:00:00+00:00;1.504;15
10YAT-APG------L;2024-01-01 11:15:00+00:00;0.398;15
10YAT-APG------L;2024-01-01 11:30:00+00:00;-1.092;15
10YAT-APG------L;2024-01-01 11:45:00+00:00;-1.24;15
10YAT-APG------L;2024-01-01 12:00:00+00:00;-1.092;15
10YAT-APG------L;2024-01-01 12:00:00+00:00;0.258;60
10YAT-APG------L;2024-01-01 12:15:00+00:00;0.252;15
10YAT-APG------L;2024-01-01 12:30:00+00:00;-0.44699999999999995;15
10YAT-APG------L;2024-01-01 12:45:00+00:00;0.504;15
10YAT-APG------L;2024-01-01 13:00:00+00:00;0.529;60
10YAT-APG------L;2024-01-01 13:00:00+00:00;-0.40599999999999997;15
10YAT-APG------L;2024-01-01 13:15:00+00:00;0.794;15
