EIC;timestamp_utc;ct_kWh;minutes
10YBE----------2;2023-12-31 23:00:00+00:00;0.01;60
10YBE----------2;2024-01-01 00:00:00+00:00;0.001;60
10YBE----------2;2024-01-01 01:00:00+00:00;0.0;60
10YBE----------2;2024-01-01 02:00:00+00:00;-0.001;60
10YBE----------2;2024-01-01 03:00:00+00:00;-0.003;60
10YBE----------2;2024-01-01 04:00:00+00:00;-0.002;60
10YBE----------2;2024-01-01 05:00:00+00:00;-0.005;60
10YBE----------2;2024-01-01 06:00:00+00:00;-0.002;60
10YBE----------2;2024-01-01 07:00:00+00:00;0.0;60
10YBE----------2;2024-01-01 08:00:00+00:00;0.004;60
10YBE----------2;2024-01-01 09:00:00+00:00;0.006;60
10YBE----------2;2024-01-01 10:00:00+00:00;0.054000000000000006;60
10YBE----------2;2024-01-01 11:00:00+00:00;0.22400000000000003;60
10YBE----------2;2024-01-01 12:00:00+00:00;0.2;60
10YBE----------2;2024-01-01 13:00:00+00:00;0.135;60
10YBE----------2;2024-01-01 14:00:00+00:00;0.413;60
10YBE----------2;2024-01-01 15:00:00+00:00;2.7960000000000003;60
10YBE----------2;2024-01-01 16:00:00+00:00;5.037;60
10YBE----------2;2024-01-01 17:00:00+00:00;5.3759999999999994;60
10YBE----------2;2024-01-01 18:00:00+00:00;5.6770000000000005;60
10YBE----------2;2024-01-01 19:00:00+00:00;5.14;60
10YBE----------2;2024-01-01 20:00:00+00:00;3.539;60
10YBE----------2;2024-01-01 21:00:00+00:00;4.074;60
10YBE----------2;2024-01-01 22:00:00+00:00;3.5549999999999997;60
10YBE----------2;2024-01-01 23:00:00+00:00;2.3920000000000003;60
10YBE----------2;2024-01-02 00:00:00+00:00;1.77;60
10YBE----------2;2024-01-02 01:00:00+00:00;1.239;60
10YBE----------2;2024-01-02 02:00:00+00:00;0.735;60
10YBE----------2;2024-01-02 03:00:00+00:00;0.41900000000000004;60
10YBE----------2;2024-01-02 04:00:00+00:00;0.475;60
10YBE----------2;2024-01-02 05:00:00+00:00;3.159;60
10YBE----------2;2024-01-02 06:00:00+00:00;4.996;60
10YBE----------2;2024-01-02 07:00:00+00:00;5.846;60
10YBE----------2;2024-01-02 08:00:00+00:00;5.904999999999999;60
10YBE----------2;2024-01-02 09:00:00+00:00;6.865;60
10YBE----------2;2024-01-02 10:00:00+00:00;7.418000000000001;60
10YBE----------2;2024-01-02 11:00:00+00:00;6.502;60
10YBE----------2;2024-01-02 12:00:00+00:00;6.470999999999999;60
10YBE----------2;2024-01-02 13:00:00+00:00;6.6739999999999995;60
10YBE----------2;2024-01-02 14:00:00+00:00;6.4430000000000005;60
10YBE----------2;2024-01-02 15:00:00+00:00;6.5040000000000004;60
10YBE----------2;2024-01-02 16:00:00+00:00;7.385;60
10YBE----------2;2024-01-02 17:00:00+00:00;6.662000000000001;60
10YBE----------2;2024-01-02 18:00:00+00:00;6.436;60
10YBE----------2;2024-01-02 19:00:00+00:00;6.0;60
10YBE----------2;2024-01-02 20:00:00+00:00;4.95;60
