EIC;timestamp_utc;ct_kWh;minutes
10YCH-SWISSGRIDZ;2023-12-31 23:00:00+00:00;2.597;60
10YCH-SWISSGRIDZ;2024-01-01 00:00:00+00:00;2.199;60
10YCH-SWISSGRIDZ;2024-01-01 01:00:00+00:00;1.432;60
10YCH-SWISSGRIDZ;2024-01-01 02:00:00+00:00;1.137;60
10YCH-SWISSGRIDZ;2024-01-01 03:00:00+00:00;1.135;60
10YCH-SWISSGRIDZ;2024-01-01 04:00:00+00:00;1.139;60
10YCH-SWISSGRIDZ;2024-01-01 05:00:00+00:00;1.134;60
10YCH-SWISSGRIDZ;2024-01-01 06:00:00+00:00;0.8310000000000001;60
10YCH-SWISSGRIDZ;2024-01-01 07:00:00+00:00;0.851;60
10YCH-SWISSGRIDZ;2024-01-01 08:00:00+00:00;1.0630000000000002;60
10YCH-SWISSGRIDZ;2024-01-01 09:00:00+00:00;0.975;60
10YCH-SWISSGRIDZ;2024-01-01 10:00:00+00:00;0.8240000000000001;60
10YCH-SWISSGRIDZ;2024-01-01 11:00:00+00:00;1.0710000000000002;60
10YCH-SWISSGRIDZ;2024-01-01 12:00:00+00:00;0.931;60
10YCH-SWISSGRIDZ;2024-01-01 13:00:00+00:00;1.151;60
10YCH-SWISSGRIDZ;2024-01-01 14:00:00+00:00;2.041;60
10YCH-SWISSGRIDZ;2024-01-01 15:00:00+00:00;2.909;60
10YCH-SWISSGRIDZ;2024-01-01 16:00:00+00:00;4.21;60
10YCH-SWISSGRIDZ;2024-01-01 17:00:00+00:00;4.883;60
10YCH-SWISSGRIDZ;2024-01-01 18:00:00+00:00;4.331;60
10YCH-SWISSGRIDZ;2024-01-01 19:00:00+00:00;4.259;60
10YCH-SWISSGRIDZ;2024-01-01 20:00:00+00:00;3.5;60
10YCH-SWISSGRIDZ;2024-01-01 21:00:00+00:00;3.401;60
10YCH-SWISSGRIDZ;2024-01-01 22:00:00+00:00;2.607;60
10YCH-SWISSGRIDZ;2024-01-01 23:00:00+00:00;2.2239999999999998;60
10YCH-SWISSGRIDZ;2024-01-02 00:00:00+00:00;1.4;60
10YCH-SWISSGRIDZ;2024-01-02 01:00:00+00:00;1.1320000000000001;60
10YCH-SWISSGRIDZ;2024-01-02 02:00:00+00:00;0.966;60
10YCH-SWISSGRIDZ;2024-01-02 03:00:00+00:00;1.001;60
10YCH-SWISSGRIDZ;2024-01-02 04:00:00+00:00;1.136;60
10YCH-SWISSGRIDZ;2024-01-02 05:00:00+00:00;1.989;60
10YCH-SWISSGRIDZ;2024-01-02 06:00:00+00:00;4.056;60
10YCH-SWISSGRIDZ;2024-01-02 07:00:00+00:00;4.836;60
10YCH-SWISSGRIDZ;2024-01-02 08:00:00+00:00;5.181;60
10YCH-SWISSGRIDZ;2024-01-02 09:00:00+00:00;5.189;60
10YCH-SWISSGRIDZ;2024-01-02 10:00:00+00:00;5.587;60
10YCH-SWISSGRIDZ;2024-01-02 11:00:00+00:00;5.849;60
10YCH-SWISSGRIDZ;2024-01-02 12:00:00+00:00;6.117;60
10YCH-SWISSGRIDZ;2024-01-02 13:00:00+00:00;6.498;60
10YCH-SWISSGRIDZ;2024-01-02 14:00:00+00:00;6.744;60
10YCH-SWISSGRIDZ;2024-01-02 15:00:00+00:00;7.251;60
10YCH-SWISSGRIDZ;2024-01-02 16:00:00+00:00;7.58;60
10YCH-SWISSGRIDZ;2024-01-02 17:00:00+00:00;6.784000000000001;60
10YCH-SWISSGRIDZ;2024-01-02 18:00:00+00:00;6.003;60
10YCH-SWISSGRIDZ;2024-01-02 19:00:00+00:00;4.826;60
10YCH-SWISSGRIDZ;2024-01-02 20:00:00+00:00;3.312;60
10YCH-SWISSGRIDZ;2024-01-02 21:00:00+00:00;2.88;60
10YCH-SWISSGRIDZ;2024-01-02 22:00:00+00:00;1.8010000000000002;60
10YCH-SWISSGRIDZ;2024-01-02 23:00:00+00:00;1.9449999999999998;60
10YCH-SWISSGRIDZ;2024-01-03 00:00:00+00:00;1.514;60
10YCH-SWISSGRIDZ;2024-01-03 01:00:00+00:00;1.135;60
10YCH-SWISSGRIDZ;2024-01-03 02:00:00+00:00;1.1320000000000001;60
10YCH-SWISSGRIDZ;2024-01-03 03:00:00+00:00;1.1300000000000001;60
10YCH-SWISSGRIDZ;2024-01-03 04:00:00+00:00;2.3609999999999998;60
10YCH-SWISSGRIDZ;2024-01-03 05:00:00+00:00;5.191;60
10YCH-SWISSGRIDZ;2024-01-03 06:00:00+00:00;6.002000000000001;60
10YCH-SWISSGRIDZ;2024-01-03 07:00:00+00:00;6.207;60
10YCH-SWISSGRIDZ;2024-01-03 08:00:00+00:00;6.288;60
10YCH-SWISSGRIDZ;2024-01-03 09:00:00+00:00;5.86;60
10YCH-SWISSGRIDZ;2024-01-03 10:00:00+00:00;5.622;60
10YCH-SWISSGRIDZ;2024-01-03 11:00:00+00:00;6.003;60
10YCH-SWISSGRIDZ;2024-01-03 12:00:00+00:00;6.4959999999999996;60
10YCH-SWISSGRIDZ;2024-01-03 13:00:00+00:00;7.169;60
10YCH-SWISSGRIDZ;2024-01-03 14:00:00+00:00;7.819;60
10YCH-SWISSGRIDZ;2024-01-03 15:00:00+00:00;7.574;60
10YCH-SWISSGRIDZ;2024-01-03 16:00:00+00:00;8.159;60
10YCH-SWISSGRIDZ;2024-01-03 17:00:00+00:00;8.596;60
10YCH-SWISSGRIDZ;2024-01-03 18:00:00+00:00;8.204;60
10YCH-SWISSGRIDZ;2024-01-03 19:00:00+00:00;8.270999999999999;60
10YCH-SWISSGRIDZ;2024-01-03 20:00:00+00:00;6.699;60
10YCH-SWISSGRIDZ;2024-01-03 21:00:00+00:00;6.574;60
10YCH-SWISSGRIDZ;2024-01-03 22:00:00+00:00;5.337;60
10YCH-SWISSGRIDZ;2024-01-03 23:00:00+00:00;4.843;60
10YCH-SWISSGRIDZ;2024-01-04 00:00:00+00:00;4.099;60
10YCH-SWISSGRIDZ;2024-01-04 01:00:00+00:00;3.6060000000000003;60
