EIC;timestamp_utc;ct_kWh;minutes
10YFR-RTE------C;2023-12-31 23:00:00+00:00;0.01;60
10YFR-RTE------C;2024-01-01 00:00:00+00:00;0.001;60
10YFR-RTE------C;2024-01-01 01:00:00+00:00;0.0;60
10YFR-RTE------C;2024-01-01 02:00:00+00:00;-0.001;60
10YFR-RTE------C;2024-01-01 03:00:00+00:00;-0.003;60
10YFR-RTE------C;2024-01-01 04:00:00+00:00;-0.002;60
10YFR-RTE------C;2024-01-01 05:00:00+00:00;-0.004;60
10YFR-RTE------C;2024-01-01 06:00:00+00:00;-0.001;60
10YFR-RTE------C;2024-01-01 07:00:00+00:00;0.0;60
10YFR-RTE------C;2024-01-01 08:00:00+00:00;0.004;60
10YFR-RTE------C;2024-01-01 09:00:00+00:00;0.006;60
10YFR-RTE------C;2024-01-01 10:00:00+00:00;0.054000000000000006;60
10YFR-RTE------C;2024-01-01 11:00:00+00:00;0.22400000000000003;60
10YFR-RTE------C;2024-01-01 12:00:00+00:00;0.20600000000000002;60
10YFR-RTE------C;2024-01-01 13:00:00+00:00;0.173;60
10YFR-RTE------C;2024-01-01 14:00:00+00:00;0.572;60
10YFR-RTE------C;2024-01-01 15:00:00+00:00;1.8489999999999998;60
10YFR-RTE------C;2024-01-01 16:00:00+00:00;3.7;60
10YFR-RTE------C;2024-01-01 17:00:00+00:00;4.75;60
10YFR-RTE------C;2024-01-01 18:00:00+00:00;5.497;60
10YFR-RTE------C;2024-01-01 19:00:00+00:00;4.861;60
10YFR-RTE------C;2024-01-01 20:00:00+00:00;2.488;60
10YFR-RTE------C;2024-01-01 21:00:00+00:00;3.589;60
10YFR-RTE------C;2024-01-01 22:00:00+00:00;3.5549999999999997;60
10YFR-RTE------C;2024-01-01 23:00:00+00:00;1.9489999999999998;60
10YFR-RTE------C;2024-01-02 00:00:00+00:00;1.612;60
10YFR-RTE------C;2024-01-02 01:00:00+00:00;0.006;60
10YFR-RTE------C;2024-01-02 02:00:00+00:00;0.002;60
10YFR-RTE------C;2024-01-02 03:00:00+00:00;0.001;60
10YFR-RTE------C;2024-01-02 04:00:00+00:00;0.009;60
10YFR-RTE------C;2024-01-02 05:00:00+00:00;2.074;60
10YFR-RTE------C;2024-01-02 06:00:00+00:00;4.470000000000001;60
10YFR-RTE------C;2024-01-02 07:00:00+00:00;5.378;60
10YFR-RTE------C;2024-01-02 08:00:00+00:00;5.423;60
10YFR-RTE------C;2024-01-02 09:00:00+00:00;5.0;60
10YFR-RTE------C;2024-01-02 10:00:00+00:00;5.220000000000001;60
10YFR-RTE------C;2024-01-02 11:00:00+00:00;4.5;60
10YFR-RTE------C;2024-01-02 12:00:00+00:00;4.3;60
10YFR-RTE------C;2024-01-02 14:00:00+00:00;4.099;60
10YFR-RTE------C;2024-01-02 15:00:00+00:00;4.366;60
10YFR-RTE------C;2024-01-02 16:00:00+00:00;5.220000000000001;60
10YFR-RTE------C;2024-01-02 17:00:00+00:00;5.777;60
10YFR-RTE------C;2024-01-02 18:00:00+00:00;6.245;60
10YFR-RTE------C;2024-01-02 19:00:00+00:00;5.8;60
10YFR-RTE------C;2024-01-02 20:00:00+00:00;4.79;60
10YFR-RTE------C;2024-01-02 21:00:00+00:00;4.167;60
10YFR-RTE------C;2024-01-02 22:00:00+00:00;2.1420000000000003;60
10YFR-RTE------C;2024-01-02 23:00:00+00:00;0.129;60
10YFR-RTE------C;2024-01-03 00:00:00+00:00;0.01;60
10YFR-RTE------C;2024-01-03 01:00:00+00:00;-0.001;60
10YFR-RTE------C;2024-01-03 02:00:00+00:00;-0.005;60
10YFR-RTE------C;2024-01-03 04:00:00+00:00;0.01;60
10YFR-RTE------C;2024-01-03 05:00:00+00:00;0.47800000000000004;60
10YFR-RTE------C;2024-01-03 06:00:00+00:00;4.104;60
10YFR-RTE------C;2024-01-03 07:00:00+00:00;6.192;60
10YFR-RTE------C;2024-01-03 08:00:00+00:00;6.506;60
10YFR-RTE------C;2024-01-03 09:00:00+00:00;5.9670000000000005;60
10YFR-RTE------C;2024-01-03 10:00:00+00:00;5.628;60
10YFR-RTE------C;2024-01-03 11:00:00+00:00;5.5;60
10YFR-RTE------C;2024-01-03 12:00:00+00:00;5.542;60
10YFR-RTE------C;2024-01-03 13:00:00+00:00;6.1;60
10YFR-RTE------C;2024-01-03 14:00:00+00:00;6.603;60
10YFR-RTE------C;2024-01-03 15:00:00+00:00;6.752;60
10YFR-RTE------C;2024-01-03 16:00:00+00:00;8.106;60
10YFR-RTE------C;2024-01-03 17:00:00+00:00;8.507;60
10YFR-RTE------C;2024-01-03 18:00:00+00:00;8.166;60
10YFR-RTE------C;2024-01-03 19:00:00+00:00;7.323;60
10YFR-RTE------C;2024-01-03 20:00:00+00:00;6.741;60
10YFR-RTE------C;2024-01-03 21:00:00+00:00;6.5;60
10YFR-RTE------C;2024-01-03 22:00:00+00:00;5.811999999999999;60
10YFR-RTE------C;2024-01-03 23:00:00+00:00;5.7299999999999995;60
10YFR-RTE------C;2024-01-04 00:00:00+00:00;5.046;60
10YFR-RTE------C;2024-01-04 01:00:00+00:00;4.0;60
10YFR-RTE------C;2024-01-04 02:00:00+00:00;2.548;60
10YFR-RTE------C;2024-01-04 03:00:00+00:00;3.5;60
10YFR-RTE------C;2024-01-04 04:00:00+00:00;5.773;60
10YFR-RTE------C;2024-01-04 05:00:00+00:00;7.265000000000001;60
10YFR-RTE------C;2024-01-04 06:00:00+00:00;8.501999999999999;60
10YFR-RTE------C;2024-01-04 07:00:00+00:00;9.147;60
10YFR-RTE------C;2024-01-04 08:00:00+00:00;9.42;60
10YFR-RTE------C;2024-01-04 09:00:00+00:00;9.154;60
10YFR-RTE------C;2024-01-04 10:00:00+00:00;8.995000000000001;60
10YFR-RTE------C;2024-01-04 11:00:00+00:00;8.620999999999999;60
10YFR-RTE------C;2024-01-04 12:00:00+00:00;8.596;60
10YFR-RTE------C;2024-01-04 13:00:00+00:00;9.211;60
10YFR-RTE------C;2024-01-04 14:00:00+00:00;9.862;60
10YFR-RTE------C;2024-01-04 15:00:00+00:00;9.95;60
10YFR-RTE------C;2024-01-04 16:00:00+00:00;10.0;60
10YFR-RTE------C;2024-01-04 17:00:00+00:00;10.257;60
10YFR-RTE------C;2024-01-04 18:00:00+00:00;10.07;60
10YFR-RTE------C;2024-01-04 19:00:00+00:00;9.265;60
10YFR-RTE------C;2024-01-04 20:00:00+00:00;8.107;60
10YFR-RTE------C;2024-01-04 21:00:00+00:00;7.843000000000001;60
10YFR-RTE------C;2024-01-04 22:00:00+00:00;8.689;60
10YFR-RTE------C;2024-01-04 23:00:00+00:00;8.608;60
10YFR-RTE------C;2024-01-05 00:00:00+00:00;8.051;60
10YFR-RTE------C;2024-01-05 01:00:00+00:00;7.7010000000000005;60
10YFR-RTE------C;2024-01-05 02:00:00+00:00;7.067;60
10YFR-RTE------C;2024-01-05 03:00:00+00:00;6.11;60
10YFR-RTE------C;2024-01-05 04:00:00+00:00;6.8260000000000005;60
10YFR-RTE------C;2024-01-05 05:00:00+00:00;7.5;60
10YFR-RTE------C;2024-01-05 06:00:00+00:00;8.834999999999999;60
10YFR-RTE------C;2024-01-05 07:00:00+00:00;9.088;60
10YFR-RTE------C;2024-01-05 08:00:00+00:00;9.537;60
10YFR-RTE------C;2024-01-05 09:00:00+00:00;9.637;60
10YFR-RTE------C;2024-01-05 10:00:00+00:00;9.824;60
10YFR-RTE------C;2024-01-05 11:00:00+00:00;9.261;60
10YFR-RTE------C;2024-01-05 12:00:00+00:00;9.24;60
10YFR-RTE------C;2024-01-05 13:00:00+00:00;9.745999999999999;60
10YFR-RTE------C;2024-01-05 14:00:00+00:00;10.097;60
10YFR-RTE------C;2024-01-05 15:00:00+00:00;10.379000000000001;60
10YFR-RTE------C;2024-01-05 16:00:00+00:00;10.803;60
10YFR-RTE------C;2024-01-05 17:00:00+00:00;10.876000000000001;60
10YFR-RTE------C;2024-01-05 18:00:00+00:00;10.440999999999999;60
10YFR-RTE------C;2024-01-05 19:00:00+00:00;10.052;60
10YFR-RTE------C;2024-01-05 20:00:00+00:00;9.440999999999999;60
10YFR-RTE------C;2024-01-05 21:00:00+00:00;9.492;60
10YFR-RTE------C;2024-01-05 22:00:00+00:00;8.68;60
10YFR-RTE------C;2024-01-05 23:00:00+00:00;8.225;60
10YFR-RTE------C;2024-01-06 00:00:00+00:00;8.02;60
10YFR-RTE------C;2024-01-06 01:00:00+00:00;7.6129999999999995;60
10YFR-RTE------C;2024-01-06 02:00:00+00:00;7.301;60
10YFR-RTE------C;2024-01-06 04:00:00+00:00;7.4590000000000005;60
10YFR-RTE------C;2024-01-06 05:00:00+00:00;7.51;60
10YFR-RTE------C;2024-01-06 06:00:00+00:00;8.139;60
10YFR-RTE------C;2024-01-06 07:00:00+00:00;8.84;60
10YFR-RTE------C;2024-01-06 08:00:00+00:00;9.223;60
10YFR-RTE------C;2024-01-06 09:00:00+00:00;9.73;60
10YFR-RTE------C;2024-01-06 10:00:00+00:00;10.041;60
10YFR-RTE------C;2024-01-06 11:00:00+00:00;9.916;60
10YFR-RTE------C;2024-01-06 12:00:00+00:00;9.018;60
10YFR-RTE------C;2024-01-06 13:00:00+00:00;9.181999999999999;60
10YFR-RTE------C;2024-01-06 14:00:00+00:00;8.73;60
10YFR-RTE------C;2024-01-06 15:00:00+00:00;8.507;60
10YFR-RTE------C;2024-01-06 16:00:00+00:00;10.43;60
10YFR-RTE------C;2024-01-06 17:00:00+00:00;10.363;60
10YFR-RTE------C;2024-01-06 18:00:00+00:00;9.9;60
10YFR-RTE------C;2024-01-06 19:00:00+00:00;9.214;60
10YFR-RTE------C;2024-01-06 20:00:00+00:00;8.8;60
10YFR-RTE------C;2024-01-06 21:00:00+00:00;8.657;60
10YFR-RTE------C;2024-01-06 22:00:00+00:00;7.987;60
10YFR-RTE------C;2024-01-06 23:00:00+00:00;8.408;60
10YFR-RTE------C;2024-01-07 00:00:00+00:00;7.981999999999999;60
10YFR-RTE------C;2024-01-07 01:00:00+00:00;7.676;60
10YFR-RTE------C;2024-01-07 02:00:00+00:00;7.345999999999999;60
10YFR-RTE------C;2024-01-07 03:00:00+00:00;7.186;60
10YFR-RTE------C;2024-01-07 04:00:00+00:00;7.208;60
10YFR-RTE------C;2024-01-07 05:00:00+00:00;7.49;60
10YFR-RTE------C;2024-01-07 06:00:00+00:00;7.769;60
10YFR-RTE------C;2024-01-07 07:00:00+00:00;8.179;60
10YFR-RTE------C;2024-01-07 08:00:00+00:00;8.486;60
10YFR-RTE------C;2024-01-07 09:00:00+00:00;8.713;60
10YFR-RTE------C;2024-01-07 10:00:00+00:00;8.912;60
10YFR-RTE------C;2024-01-07 11:00:00+00:00;8.866;60
10YFR-RTE------C;2024-01-07 12:00:00+00:00;8.481;60
10YFR-RTE------C;2024-01-07 13:00:00+00:00;8.434000000000001;60
10YFR-RTE------C;2024-01-07 14:00:00+00:00;8.801;60
10YFR-RTE------C;2024-01-07 15:00:00+00:00;9.342;60
10YFR-RTE------C;2024-01-07 16:00:00+00:00;10.177;60
10YFR-RTE------C;2024-01-07 17:00:00+00:00;10.485;60
10YFR-RTE------C;2024-01-07 18:00:00+00:00;10.355;60
10YFR-RTE------C;2024-01-07 19:00:00+00:00;10.05;60
10YFR-RTE------C;2024-01-07 20:00:00+00:00;9.331;60
10YFR-RTE------C;2024-01-07 21:00:00+00:00;9.117;60
10YFR-RTE------C;2024-01-07 22:00:00+00:00;8.386;60
10YFR-RTE------C;2024-01-07 23:00:00+00:00;8.697;60
10YFR-RTE------C;2024-01-08 00:00:00+00:00;8.418000000000001;60
10YFR-RTE------C;2024-01-08 01:00:00+00:00;8.153;60
10YFR-RTE------C;2024-01-08 02:00:00+00:00;7.8790000000000004;60
10YFR-RTE------C;2024-01-08 03:00:00+00:00;7.843000000000001;60
10YFR-RTE------C;2024-01-08 04:00:00+00:00;8.209999999999999;60
10YFR-RTE------C;2024-01-08 05:00:00+00:00;9.43;60
10YFR-RTE------C;2024-01-08 06:00:00+00:00;11.107;60
10YFR-RTE------C;2024-01-08 07:00:00+00:00;12.111;60
10YFR-RTE------C;2024-01-08 08:00:00+00:00;11.783;60
10YFR-RTE------C;2024-01-08 09:00:00+00:00;11.056999999999999;60
10YFR-RTE------C;2024-01-08 10:00:00+00:00;10.3;60
10YFR-RTE------C;2024-01-08 11:00:00+00:00;9.546;60
10YFR-RTE------C;2024-01-08 12:00:00+00:00;9.388;60
10YFR-RTE------C;2024-01-08 13:00:00+00:00;10.0;60
10YFR-RTE------C;2024-01-08 14:00:00+00:00;10.798;60
10YFR-RTE------C;2024-01-08 15:00:00+00:00;11.706;60
10YFR-RTE------C;2024-01-08 16:00:00+00:00;12.925;60
10YFR-RTE------C;2024-01-08 17:00:00+00:00;12.999;60
10YFR-RTE------C;2024-01-08 18:00:00+00:00;12.201;60
10YFR-RTE------C;2024-01-08 19:00:00+00:00;11.416;60
10YFR-RTE------C;2024-01-08 20:00:00+00:00;10.262;60
10YFR-RTE------C;2024-01-08 21:00:00+00:00;9.984;60
10YFR-RTE------C;2024-01-08 22:00:00+00:00;9.149;60
10YFR-RTE------C;2024-01-08 23:00:00+00:00;8.583;60
10YFR-RTE------C;2024-01-09 00:00:00+00:00;8.465;60
10YFR-RTE------C;2024-01-09 01:00:00+00:00;8.5;60
10YFR-RTE------C;2024-01-09 02:00:00+00:00;8.398;60
10YFR-RTE------C;2024-01-09 03:00:00+00:00;8.363;60
10YFR-RTE------C;2024-01-09 04:00:00+00:00;8.865;60
10YFR-RTE------C;2024-01-09 05:00:00+00:00;10.279;60
10YFR-RTE------C;2024-01-09 06:00:00+00:00;11.614;60
10YFR-RTE------C;2024-01-09 07:00:00+00:00;13.142;60
10YFR-RTE------C;2024-01-09 08:00:00+00:00;12.075;60
10YFR-RTE------C;2024-01-09 09:00:00+00:00;11.032;60
10YFR-RTE------C;2024-01-09 10:00:00+00:00;10.312999999999999;60
10YFR-RTE------C;2024-01-09 11:00:00+00:00;9.539;60
10YFR-RTE------C;2024-01-09 12:00:00+00:00;9.577;60
10YFR-RTE------C;2024-01-09 13:00:00+00:00;10.516;60
10YFR-RTE------C;2024-01-09 14:00:00+00:00;11.475;60
10YFR-RTE------C;2024-01-09 15:00:00+00:00;12.429;60
10YFR-RTE------C;2024-01-09 16:00:00+00:00;13.735;60
10YFR-RTE------C;2024-01-09 17:00:00+00:00;13.7;60
10YFR-RTE------C;2024-01-09 18:00:00+00:00;13.005;60
10YFR-RTE------C;2024-01-09 19:00:00+00:00;11.767;60
10YFR-RTE------C;2024-01-09 20:00:00+00:00;10.769;60
10YFR-RTE------C;2024-01-09 21:00:00+00:00;10.183;60
10YFR-RTE------C;2024-01-09 22:00:00+00:00;9.484;60
10YFR-RTE------C;2024-01-09 23:00:00+00:00;8.53;60
10YFR-RTE------C;2024-01-10 00:00:00+00:00;8.676;60
10YFR-RTE------C;2024-01-10 01:00:00+00:00;8.673;60
10YFR-RTE------C;2024-01-10 02:00:00+00:00;8.475;60
10YFR-RTE------C;2024-01-10 03:00:00+00:00;8.5;60
10YFR-RTE------C;2024-01-10 04:00:00+00:00;8.629999999999999;60
10YFR-RTE------C;2024-01-10 05:00:00+00:00;10.26;60
10YFR-RTE------C;2024-01-10 06:00:00+00:00;11.926;60
10YFR-RTE------C;2024-01-10 07:00:00+00:00;13.919999999999998;60
10YFR-RTE------C;2024-01-10 08:00:00+00:00;13.038999999999998;60
10YFR-RTE------C;2024-01-10 09:00:00+00:00;11.747;60
10YFR-RTE------C;2024-01-10 10:00:00+00:00;10.913;60
10YFR-RTE------C;2024-01-10 11:00:00+00:00;9.998999999999999;60
