EIC;timestamp_utc;ct_kWh;minutes
10YGR-HTSO-----Y;2023-12-31 23:00:00+00:00;10.709;60
10YGR-HTSO-----Y;2024-01-01 00:00:00+00:00;10.4;60
10YGR-HTSO-----Y;2024-01-01 01:00:00+00:00;10.0;60
10YGR-HTSO-----Y;2024-01-01 02:00:00+00:00;8.565999999999999;60
10YGR-HTSO-----Y;2024-01-01 03:00:00+00:00;8.5;60
10YGR-HTSO-----Y;2024-01-01 04:00:00+00:00;8.553;60
10YGR-HTSO-----Y;2024-01-01 05:00:00+00:00;9.507;60
10YGR-HTSO-----Y;2024-01-01 06:00:00+00:00;10.306999999999999;60
10YGR-HTSO-----Y;2024-01-01 07:00:00+00:00;6.5;60
10YGR-HTSO-----Y;2024-01-01 08:00:00+00:00;4.734;60
10YGR-HTSO-----Y;2024-01-01 09:00:00+00:00;0.1;60
10YGR-HTSO-----Y;2024-01-01 10:00:00+00:00;0.054000000000000006;60
10YGR-HTSO-----Y;2024-01-01 11:00:00+00:00;0.22400000000000003;60
10YGR-HTSO-----Y;2024-01-01 12:00:00+00:00;0.324;60
10YGR-HTSO-----Y;2024-01-01 13:00:00+00:00;6.51;60
10YGR-HTSO-----Y;2024-01-01 14:00:00+00:00;9.690999999999999;60
10YGR-HTSO-----Y;2024-01-01 15:00:00+00:00;9.744;60
10YGR-HTSO-----Y;2024-01-01 16:00:00+00:00;9.4;60
10YGR-HTSO-----Y;2024-01-01 17:00:00+00:00;9.858;60
10YGR-HTSO-----Y;2024-01-01 18:00:00+00:00;10.103;60
10YGR-HTSO-----Y;2024-01-01 19:00:00+00:00;10.572;60
10YGR-HTSO-----Y;2024-01-01 20:00:00+00:00;10.106;60
10YGR-HTSO-----Y;2024-01-01 21:00:00+00:00;10.318999999999999;60
10YGR-HTSO-----Y;2024-01-01 22:00:00+00:00;9.905;60
10YGR-HTSO-----Y;2024-01-01 23:00:00+00:00;5.5;60
10YGR-HTSO-----Y;2024-01-02 00:00:00+00:00;9.009;60
10YGR-HTSO-----Y;2024-01-02 01:00:00+00:00;8.427;60
10YGR-HTSO-----Y;2024-01-02 02:00:00+00:00;4.082;60
10YGR-HTSO-----Y;2024-01-02 03:00:00+00:00;8.427;60
10YGR-HTSO-----Y;2024-01-02 04:00:00+00:00;10.0;60
10YGR-HTSO-----Y;2024-01-02 05:00:00+00:00;10.828;60
10YGR-HTSO-----Y;2024-01-02 06:00:00+00:00;11.385;60
10YGR-HTSO-----Y;2024-01-02 07:00:00+00:00;10.742;60
10YGR-HTSO-----Y;2024-01-02 08:00:00+00:00;7.636;60
10YGR-HTSO-----Y;2024-01-02 09:00:00+00:00;7.56;60
10YGR-HTSO-----Y;2024-01-02 10:00:00+00:00;7.787000000000001;60
10YGR-HTSO-----Y;2024-01-02 11:00:00+00:00;8.027;60
10YGR-HTSO-----Y;2024-01-02 12:00:00+00:00;8.126999999999999;60
10YGR-HTSO-----Y;2024-01-02 13:00:00+00:00;9.512;60
10YGR-HTSO-----Y;2024-01-02 14:00:00+00:00;10.256;60
10YGR-HTSO-----Y;2024-01-02 15:00:00+00:00;10.238;60
10YGR-HTSO-----Y;2024-01-02 16:00:00+00:00;10.331999999999999;60
10YGR-HTSO-----Y;2024-01-02 17:00:00+00:00;10.358;60
10YGR-HTSO-----Y;2024-01-02 18:00:00+00:00;10.606;60
10YGR-HTSO-----Y;2024-01-02 19:00:00+00:00;10.495999999999999;60
10YGR-HTSO-----Y;2024-01-02 20:00:00+00:00;10.22;60
10YGR-HTSO-----Y;2024-01-02 21:00:00+00:00;10.197;60
10YGR-HTSO-----Y;2024-01-02 22:00:00+00:00;9.241;60
10YGR-HTSO-----Y;2024-01-02 23:00:00+00:00;8.25;60
10YGR-HTSO-----Y;2024-01-03 00:00:00+00:00;7.01;60
10YGR-HTSO-----Y;2024-01-03 01:00:00+00:00;5.021;60
10YGR-HTSO-----Y;2024-01-03 02:00:00+00:00;4.0;60
10YGR-HTSO-----Y;2024-01-03 03:00:00+00:00;5.0;60
10YGR-HTSO-----Y;2024-01-03 04:00:00+00:00;7.5;60
10YGR-HTSO-----Y;2024-01-03 05:00:00+00:00;9.546;60
10YGR-HTSO-----Y;2024-01-03 06:00:00+00:00;10.715;60
10YGR-HTSO-----Y;2024-01-03 07:00:00+00:00;10.101;60
10YGR-HTSO-----Y;2024-01-03 08:00:00+00:00;6.5;60
10YGR-HTSO-----Y;2024-01-03 09:00:00+00:00;9.915000000000001;60
10YGR-HTSO-----Y;2024-01-03 10:00:00+00:00;8.725;60
10YGR-HTSO-----Y;2024-01-03 11:00:00+00:00;7.5329999999999995;60
10YGR-HTSO-----Y;2024-01-03 12:00:00+00:00;8.697;60
10YGR-HTSO-----Y;2024-01-03 13:00:00+00:00;9.096;60
10YGR-HTSO-----Y;2024-01-03 14:00:00+00:00;7.223000000000001;60
10YGR-HTSO-----Y;2024-01-03 15:00:00+00:00;8.306000000000001;60
10YGR-HTSO-----Y;2024-01-03 16:00:00+00:00;9.078;60
10YGR-HTSO-----Y;2024-01-03 17:00:00+00:00;9.645999999999999;60
10YGR-HTSO-----Y;2024-01-03 18:00:00+00:00;9.706;60
10YGR-HTSO-----Y;2024-01-03 19:00:00+00:00;9.645;60
10YGR-HTSO-----Y;2024-01-03 20:00:00+00:00;10.361;60
10YGR-HTSO-----Y;2024-01-03 21:00:00+00:00;10.105;60
10YGR-HTSO-----Y;2024-01-03 22:00:00+00:00;8.259;60
10YGR-HTSO-----Y;2024-01-03 23:00:00+00:00;7.419;60
10YGR-HTSO-----Y;2024-01-04 00:00:00+00:00;6.5;60
10YGR-HTSO-----Y;2024-01-04 01:00:00+00:00;4.0;60
10YGR-HTSO-----Y;2024-01-04 02:00:00+00:00;3.5200000000000005;60
10YGR-HTSO-----Y;2024-01-04 03:00:00+00:00;4.939;60
10YGR-HTSO-----Y;2024-01-04 04:00:00+00:00;7.01;60
10YGR-HTSO-----Y;2024-01-04 05:00:00+00:00;9.761;60
10YGR-HTSO-----Y;2024-01-04 06:00:00+00:00;8.501999999999999;60
10YGR-HTSO-----Y;2024-01-04 07:00:00+00:00;9.147;60
10YGR-HTSO-----Y;2024-01-04 08:00:00+00:00;9.42;60
10YGR-HTSO-----Y;2024-01-04 09:00:00+00:00;7.383;60
10YGR-HTSO-----Y;2024-01-04 10:00:00+00:00;7.01;60
10YGR-HTSO-----Y;2024-01-04 12:00:00+00:00;8.596;60
10YGR-HTSO-----Y;2024-01-04 13:00:00+00:00;9.211;60
10YGR-HTSO-----Y;2024-01-04 14:00:00+00:00;9.862;60
10YGR-HTSO-----Y;2024-01-04 15:00:00+00:00;10.451;60
10YGR-HTSO-----Y;2024-01-04 16:00:00+00:00;11.267;60
10YGR-HTSO-----Y;2024-01-04 17:00:00+00:00;11.448;60
10YGR-HTSO-----Y;2024-01-04 18:00:00+00:00;11.045;60
10YGR-HTSO-----Y;2024-01-04 19:00:00+00:00;10.095;60
10YGR-HTSO-----Y;2024-01-04 20:00:00+00:00;9.49;60
10YGR-HTSO-----Y;2024-01-04 21:00:00+00:00;9.981;60
10YGR-HTSO-----Y;2024-01-04 22:00:00+00:00;9.798;60
10YGR-HTSO-----Y;2024-01-04 23:00:00+00:00;8.608;60
10YGR-HTSO-----Y;2024-01-05 00:00:00+00:00;8.895999999999999;60
10YGR-HTSO-----Y;2024-01-05 01:00:00+00:00;7.85;60
10YGR-HTSO-----Y;2024-01-05 03:00:00+00:00;7.939;60
10YGR-HTSO-----Y;2024-01-05 04:00:00+00:00;7.959999999999999;60
10YGR-HTSO-----Y;2024-01-05 05:00:00+00:00;9.383;60
10YGR-HTSO-----Y;2024-01-05 06:00:00+00:00;10.458;60
10YGR-HTSO-----Y;2024-01-05 07:00:00+00:00;10.679;60
10YGR-HTSO-----Y;2024-01-05 08:00:00+00:00;10.065999999999999;60
10YGR-HTSO-----Y;2024-01-05 09:00:00+00:00;9.751999999999999;60
10YGR-HTSO-----Y;2024-01-05 10:00:00+00:00;9.853;60
10YGR-HTSO-----Y;2024-01-05 11:00:00+00:00;9.717;60
10YGR-HTSO-----Y;2024-01-05 12:00:00+00:00;10.285;60
10YGR-HTSO-----Y;2024-01-05 13:00:00+00:00;11.028;60
10YGR-HTSO-----Y;2024-01-05 14:00:00+00:00;11.217;60
10YGR-HTSO-----Y;2024-01-05 15:00:00+00:00;11.385;60
10YGR-HTSO-----Y;2024-01-05 16:00:00+00:00;11.607;60
10YGR-HTSO-----Y;2024-01-05 17:00:00+00:00;11.263;60
10YGR-HTSO-----Y;2024-01-05 18:00:00+00:00;10.979000000000001;60
10YGR-HTSO-----Y;2024-01-05 19:00:00+00:00;10.565000000000001;60
10YGR-HTSO-----Y;2024-01-05 20:00:00+00:00;9.706999999999999;60
10YGR-HTSO-----Y;2024-01-05 21:00:00+00:00;9.986;60
10YGR-HTSO-----Y;2024-01-05 22:00:00+00:00;8.68;60
10YGR-HTSO-----Y;2024-01-05 23:00:00+00:00;9.1;60
10YGR-HTSO-----Y;2024-01-06 00:00:00+00:00;9.475;60
10YGR-HTSO-----Y;2024-01-06 01:00:00+00:00;7.6129999999999995;60
10YGR-HTSO-----Y;2024-01-06 02:00:00+00:00;7.301;60
10YGR-HTSO-----Y;2024-01-06 04:00:00+00:00;7.4590000000000005;60
10YGR-HTSO-----Y;2024-01-06 05:00:00+00:00;7.51;60
10YGR-HTSO-----Y;2024-01-06 06:00:00+00:00;8.139;60
10YGR-HTSO-----Y;2024-01-06 07:00:00+00:00;8.84;60
10YGR-HTSO-----Y;2024-01-06 08:00:00+00:00;9.223;60
10YGR-HTSO-----Y;2024-01-06 09:00:00+00:00;9.73;60
10YGR-HTSO-----Y;2024-01-06 10:00:00+00:00;9.47;60
10YGR-HTSO-----Y;2024-01-06 11:00:00+00:00;9.277;60
10YGR-HTSO-----Y;2024-01-06 12:00:00+00:00;9.1;60
10YGR-HTSO-----Y;2024-01-06 13:00:00+00:00;9.247;60
10YGR-HTSO-----Y;2024-01-06 14:00:00+00:00;9.425;60
10YGR-HTSO-----Y;2024-01-06 15:00:00+00:00;9.359;60
10YGR-HTSO-----Y;2024-01-06 16:00:00+00:00;9.924;60
10YGR-HTSO-----Y;2024-01-06 17:00:00+00:00;9.567;60
10YGR-HTSO-----Y;2024-01-06 18:00:00+00:00;9.388;60
10YGR-HTSO-----Y;2024-01-06 19:00:00+00:00;9.214;60
10YGR-HTSO-----Y;2024-01-06 20:00:00+00:00;8.8;60
10YGR-HTSO-----Y;2024-01-06 21:00:00+00:00;8.657;60
10YGR-HTSO-----Y;2024-01-06 22:00:00+00:00;7.987;60
10YGR-HTSO-----Y;2024-01-06 23:00:00+00:00;8.408;60
10YGR-HTSO-----Y;2024-01-07 00:00:00+00:00;7.981999999999999;60
10YGR-HTSO-----Y;2024-01-07 01:00:00+00:00;7.676;60
10YGR-HTSO-----Y;2024-01-07 02:00:00+00:00;7.345999999999999;60
10YGR-HTSO-----Y;2024-01-07 03:00:00+00:00;7.186;60
10YGR-HTSO-----Y;2024-01-07 04:00:00+00:00;7.208;60
10YGR-HTSO-----Y;2024-01-07 05:00:00+00:00;7.491;60
10YGR-HTSO-----Y;2024-01-07 06:00:00+00:00;7.769;60
10YGR-HTSO-----Y;2024-01-07 07:00:00+00:00;8.179;60
10YGR-HTSO-----Y;2024-01-07 08:00:00+00:00;8.486;60
10YGR-HTSO-----Y;2024-01-07 09:00:00+00:00;8.153;60
10YGR-HTSO-----Y;2024-01-07 10:00:00+00:00;8.101;60
10YGR-HTSO-----Y;2024-01-07 11:00:00+00:00;8.866;60
10YGR-HTSO-----Y;2024-01-07 12:00:00+00:00;8.481;60
10YGR-HTSO-----Y;2024-01-07 13:00:00+00:00;8.434000000000001;60
10YGR-HTSO-----Y;2024-01-07 14:00:00+00:00;8.801;60
10YGR-HTSO-----Y;2024-01-07 15:00:00+00:00;9.342;60
10YGR-HTSO-----Y;2024-01-07 16:00:00+00:00;10.177;60
10YGR-HTSO-----Y;2024-01-07 17:00:00+00:00;10.485;60
