EIC;timestamp_utc;ct_kWh;minutes
10YNL----------L;2023-12-31 23:00:00+00:00;0.01;60
10YNL----------L;2024-01-01 00:00:00+00:00;0.001;60
10YNL----------L;2024-01-01 01:00:00+00:00;0.0;60
10YNL----------L;2024-01-01 02:00:00+00:00;-0.001;60
10YNL----------L;2024-01-01 03:00:00+00:00;-0.003;60
10YNL----------L;2024-01-01 04:00:00+00:00;-0.002;60
10YNL----------L;2024-01-01 05:00:00+00:00;-0.005;60
10YNL----------L;2024-01-01 06:00:00+00:00;-0.002;60
10YNL----------L;2024-01-01 07:00:00+00:00;0.0;60
10YNL----------L;2024-01-01 08:00:00+00:00;0.004;60
10YNL----------L;2024-01-01 09:00:00+00:00;0.006;60
10YNL----------L;2024-01-01 10:00:00+00:00;0.054000000000000006;60
10YNL----------L;2024-01-01 11:00:00+00:00;0.22400000000000003;60
10YNL----------L;2024-01-01 12:00:00+00:00;0.197;60
10YNL----------L;2024-01-01 13:00:00+00:00;0.11299999999999999;60
10YNL----------L;2024-01-01 14:00:00+00:00;0.319;60
10YNL----------L;2024-01-01 15:00:00+00:00;4.0;60
10YNL----------L;2024-01-01 16:00:00+00:00;8.446;60
10YNL----------L;2024-01-01 17:00:00+00:00;6.174;60
10YNL----------L;2024-01-01 18:00:00+00:00;6.127000000000001;60
10YNL----------L;2024-01-01 19:00:00+00:00;5.997;60
10YNL----------L;2024-01-01 20:00:00+00:00;5.492;60
10YNL----------L;2024-01-01 21:00:00+00:00;4.765;60
10YNL----------L;2024-01-01 22:00:00+00:00;3.5549999999999997;60
10YNL----------L;2024-01-01 23:00:00+00:00;2.939;60
10YNL----------L;2024-01-02 00:00:00+00:00;1.9600000000000002;60
10YNL----------L;2024-01-02 01:00:00+00:00;2.7329999999999997;60
10YNL----------L;2024-01-02 02:00:00+00:00;1.6199999999999999;60
10YNL----------L;2024-01-02 03:00:00+00:00;0.95;60
10YNL----------L;2024-01-02 04:00:00+00:00;1.1199999999999999;60
10YNL----------L;2024-01-02 05:00:00+00:00;4.443;60
10YNL----------L;2024-01-02 06:00:00+00:00;5.656000000000001;60
10YNL----------L;2024-01-02 07:00:00+00:00;6.428;60
10YNL----------L;2024-01-02 08:00:00+00:00;6.612;60
10YNL----------L;2024-01-02 09:00:00+00:00;7.06;60
10YNL----------L;2024-01-02 10:00:00+00:00;7.88;60
10YNL----------L;2024-01-02 11:00:00+00:00;9.99;60
10YNL----------L;2024-01-02 12:00:00+00:00;10.25;60
10YNL----------L;2024-01-02 13:00:00+00:00;11.059999999999999;60
10YNL----------L;2024-01-02 14:00:00+00:00;10.57;60
10YNL----------L;2024-01-02 15:00:00+00:00;10.07;60
10YNL----------L;2024-01-02 16:00:00+00:00;11.893;60
10YNL----------L;2024-01-02 17:00:00+00:00;8.129999999999999;60
10YNL----------L;2024-01-02 18:00:00+00:00;7.01;60
10YNL----------L;2024-01-02 19:00:00+00:00;6.67;60
10YNL----------L;2024-01-02 20:00:00+00:00;5.49;60
10YNL----------L;2024-01-02 21:00:00+00:00;5.318;60
10YNL----------L;2024-01-02 22:00:00+00:00;5.49;60
10YNL----------L;2024-01-02 23:00:00+00:00;-0.039;60
10YNL----------L;2024-01-03 00:00:00+00:00;-0.161;60
10YNL----------L;2024-01-03 01:00:00+00:00;-0.13899999999999998;60
10YNL----------L;2024-01-03 02:00:00+00:00;-0.131;60
10YNL----------L;2024-01-03 03:00:00+00:00;-0.13899999999999998;60
10YNL----------L;2024-01-03 04:00:00+00:00;-0.195;60
10YNL----------L;2024-01-03 05:00:00+00:00;0.10500000000000001;60
10YNL----------L;2024-01-03 06:00:00+00:00;4.063000000000001;60
10YNL----------L;2024-01-03 07:00:00+00:00;6.83;60
10YNL----------L;2024-01-03 08:00:00+00:00;7.590000000000001;60
10YNL----------L;2024-01-03 09:00:00+00:00;7.32;60
10YNL----------L;2024-01-03 10:00:00+00:00;6.92;60
10YNL----------L;2024-01-03 11:00:00+00:00;6.0;60
10YNL----------L;2024-01-03 12:00:00+00:00;5.886;60
10YNL----------L;2024-01-03 13:00:00+00:00;6.086;60
10YNL----------L;2024-01-03 14:00:00+00:00;7.6;60
10YNL----------L;2024-01-03 15:00:00+00:00;7.9;60
10YNL----------L;2024-01-03 16:00:00+00:00;10.1;60
10YNL----------L;2024-01-03 17:00:00+00:00;11.459999999999999;60
10YNL----------L;2024-01-03 18:00:00+00:00;10.0;60
10YNL----------L;2024-01-03 19:00:00+00:00;7.323;60
10YNL----------L;2024-01-03 20:00:00+00:00;6.741;60
10YNL----------L;2024-01-03 21:00:00+00:00;6.5;60
10YNL----------L;2024-01-03 22:00:00+00:00;5.811999999999999;60
10YNL----------L;2024-01-03 23:00:00+00:00;5.7299999999999995;60
10YNL----------L;2024-01-04 00:00:00+00:00;5.046;60
10YNL----------L;2024-01-04 01:00:00+00:00;4.0;60
10YNL----------L;2024-01-04 02:00:00+00:00;2.548;60
10YNL----------L;2024-01-04 03:00:00+00:00;3.5;60
10YNL----------L;2024-01-04 04:00:00+00:00;5.773;60
10YNL----------L;2024-01-04 05:00:00+00:00;7.265000000000001;60
10YNL----------L;2024-01-04 06:00:00+00:00;8.501999999999999;60
10YNL----------L;2024-01-04 07:00:00+00:00;9.147;60
10YNL----------L;2024-01-04 08:00:00+00:00;9.42;60
10YNL----------L;2024-01-04 09:00:00+00:00;9.161;60
10YNL----------L;2024-01-04 10:00:00+00:00;9.003;60
10YNL----------L;2024-01-04 11:00:00+00:00;8.628;60
10YNL----------L;2024-01-04 12:00:00+00:00;8.596;60
10YNL----------L;2024-01-04 13:00:00+00:00;9.211;60
10YNL----------L;2024-01-04 14:00:00+00:00;9.862;60
10YNL----------L;2024-01-04 15:00:00+00:00;10.445;60
10YNL----------L;2024-01-04 16:00:00+00:00;13.021;60
10YNL----------L;2024-01-04 17:00:00+00:00;14.066999999999998;60
10YNL----------L;2024-01-04 18:00:00+00:00;12.309999999999999;60
10YNL----------L;2024-01-04 19:00:00+00:00;10.165000000000001;60
10YNL----------L;2024-01-04 20:00:00+00:00;9.677;60
10YNL----------L;2024-01-04 21:00:00+00:00;9.304;60
10YNL----------L;2024-01-04 22:00:00+00:00;8.861;60
10YNL----------L;2024-01-04 23:00:00+00:00;8.608;60
10YNL----------L;2024-01-05 00:00:00+00:00;8.051;60
