EIC;timestamp_utc;ct_kWh;minutes
10YNO-2--------T;2023-12-31 23:00:00+00:00;5.379;60
10YNO-2--------T;2024-01-01 00:00:00+00:00;4.898;60
10YNO-2--------T;2024-01-01 01:00:00+00:00;2.745;60
10YNO-2--------T;2024-01-01 02:00:00+00:00;2.448;60
10YNO-2--------T;2024-01-01 03:00:00+00:00;2.4010000000000002;60
10YNO-2--------T;2024-01-01 04:00:00+00:00;2.123;60
10YNO-2--------T;2024-01-01 05:00:00+00:00;2.262;60
10YNO-2--------T;2024-01-01 06:00:00+00:00;2.504;60
10YNO-2--------T;2024-01-01 07:00:00+00:00;2.6239999999999997;60
10YNO-2--------T;2024-01-01 08:00:00+00:00;3.221;60
10YNO-2--------T;2024-01-01 09:00:00+00:00;4.771;60
10YNO-2--------T;2024-01-01 10:00:00+00:00;5.2509999999999994;60
10YNO-2--------T;2024-01-01 11:00:00+00:00;5.657;60
10YNO-2--------T;2024-01-01 12:00:00+00:00;5.982;60
10YNO-2--------T;2024-01-01 13:00:00+00:00;6.206;60
10YNO-2--------T;2024-01-01 14:00:00+00:00;6.252000000000001;60
10YNO-2--------T;2024-01-01 15:00:00+00:00;6.319;60
10YNO-2--------T;2024-01-01 16:00:00+00:00;6.499;60
10YNO-2--------T;2024-01-01 17:00:00+00:00;6.358;60
10YNO-2--------T;2024-01-01 18:00:00+00:00;6.3100000000000005;60
10YNO-2--------T;2024-01-01 19:00:00+00:00;6.215;60
10YNO-2--------T;2024-01-01 20:00:00+00:00;5.827;60
10YNO-2--------T;2024-01-01 21:00:00+00:00;5.258;60
10YNO-2--------T;2024-01-01 22:00:00+00:00;4.4030000000000005;60
10YNO-2--------T;2024-01-01 23:00:00+00:00;3.8;60
10YNO-2--------T;2024-01-02 00:00:00+00:00;3.3560000000000003;60
10YNO-2--------T;2024-01-02 01:00:00+00:00;3.2030000000000003;60
10YNO-2--------T;2024-01-02 02:00:00+00:00;3.229;60
10YNO-2--------T;2024-01-02 03:00:00+00:00;3.6700000000000004;60
10YNO-2--------T;2024-01-02 04:00:00+00:00;4.172;60
10YNO-2--------T;2024-01-02 05:00:00+00:00;4.918;60
10YNO-2--------T;2024-01-02 06:00:00+00:00;6.204;60
10YNO-2--------T;2024-01-02 07:00:00+00:00;6.567;60
10YNO-2--------T;2024-01-02 08:00:00+00:00;6.68;60
10YNO-2--------T;2024-01-02 09:00:00+00:00;7.108;60
10YNO-2--------T;2024-01-02 10:00:00+00:00;7.354000000000001;60
10YNO-2--------T;2024-01-02 11:00:00+00:00;7.816;60
10YNO-2--------T;2024-01-02 12:00:00+00:00;7.8870000000000005;60
10YNO-2--------T;2024-01-02 13:00:00+00:00;7.9239999999999995;60
10YNO-2--------T;2024-01-02 14:00:00+00:00;7.9959999999999996;60
10YNO-2--------T;2024-01-02 15:00:00+00:00;8.145999999999999;60
10YNO-2--------T;2024-01-02 16:00:00+00:00;8.092;60
10YNO-2--------T;2024-01-02 17:00:00+00:00;7.495;60
10YNO-2--------T;2024-01-02 18:00:00+00:00;6.677;60
10YNO-2--------T;2024-01-02 19:00:00+00:00;6.492;60
10YNO-2--------T;2024-01-02 20:00:00+00:00;6.4430000000000005;60
10YNO-2--------T;2024-01-02 21:00:00+00:00;6.261;60
10YNO-2--------T;2024-01-02 22:00:00+00:00;5.9159999999999995;60
10YNO-2--------T;2024-01-02 23:00:00+00:00;5.8;60
10YNO-2--------T;2024-01-03 00:00:00+00:00;5.839;60
10YNO-2--------T;2024-01-03 01:00:00+00:00;5.840999999999999;60
10YNO-2--------T;2024-01-03 02:00:00+00:00;5.5840000000000005;60
10YNO-2--------T;2024-01-03 03:00:00+00:00;5.453;60
10YNO-2--------T;2024-01-03 04:00:00+00:00;5.840999999999999;60
10YNO-2--------T;2024-01-03 05:00:00+00:00;6.2700000000000005;60
10YNO-2--------T;2024-01-03 06:00:00+00:00;6.481;60
10YNO-2--------T;2024-01-03 07:00:00+00:00;6.56;60
10YNO-2--------T;2024-01-03 08:00:00+00:00;6.593999999999999;60
10YNO-2--------T;2024-01-03 09:00:00+00:00;6.642;60
10YNO-2--------T;2024-01-03 10:00:00+00:00;6.593000000000001;60
10YNO-2--------T;2024-01-03 11:00:00+00:00;6.56;60
10YNO-2--------T;2024-01-03 12:00:00+00:00;6.515000000000001;60
10YNO-2--------T;2024-01-03 13:00:00+00:00;6.5760000000000005;60
10YNO-2--------T;2024-01-03 14:00:00+00:00;6.938;60
10YNO-2--------T;2024-01-03 15:00:00+00:00;7.359;60
10YNO-2--------T;2024-01-03 16:00:00+00:00;8.228;60
10YNO-2--------T;2024-01-03 17:00:00+00:00;8.297;60
10YNO-2--------T;2024-01-03 18:00:00+00:00;7.9030000000000005;60
10YNO-2--------T;2024-01-03 19:00:00+00:00;7.323;60
10YNO-2--------T;2024-01-03 20:00:00+00:00;6.92;60
10YNO-2--------T;2024-01-03 21:00:00+00:00;6.542;60
10YNO-2--------T;2024-01-03 22:00:00+00:00;6.379;60
10YNO-2--------T;2024-01-03 23:00:00+00:00;6.4030000000000005;60
10YNO-2--------T;2024-01-04 00:00:00+00:00;6.313000000000001;60
10YNO-2--------T;2024-01-04 01:00:00+00:00;6.261;60
10YNO-2--------T;2024-01-04 02:00:00+00:00;6.241;60
10YNO-2--------T;2024-01-04 03:00:00+00:00;6.208;60
10YNO-2--------T;2024-01-04 04:00:00+00:00;6.447;60
10YNO-2--------T;2024-01-04 05:00:00+00:00;7.037999999999999;60
10YNO-2--------T;2024-01-04 06:00:00+00:00;8.501999999999999;60
10YNO-2--------T;2024-01-04 07:00:00+00:00;9.147;60
10YNO-2--------T;2024-01-04 08:00:00+00:00;9.42;60
10YNO-2--------T;2024-01-04 09:00:00+00:00;9.198;60
10YNO-2--------T;2024-01-04 10:00:00+00:00;9.040000000000001;60
10YNO-2--------T;2024-01-04 11:00:00+00:00;8.669;60
10YNO-2--------T;2024-01-04 12:00:00+00:00;8.596;60
10YNO-2--------T;2024-01-04 13:00:00+00:00;9.211;60
10YNO-2--------T;2024-01-04 14:00:00+00:00;9.862;60
10YNO-2--------T;2024-01-04 15:00:00+00:00;10.573;60
10YNO-2--------T;2024-01-04 16:00:00+00:00;13.322999999999999;60
10YNO-2--------T;2024-01-04 17:00:00+00:00;14.465;60
10YNO-2--------T;2024-01-04 18:00:00+00:00;12.137;60
10YNO-2--------T;2024-01-04 19:00:00+00:00;10.058;60
10YNO-2--------T;2024-01-04 20:00:00+00:00;9.711;60
10YNO-2--------T;2024-01-04 21:00:00+00:00;9.211;60
10YNO-2--------T;2024-01-04 22:00:00+00:00;8.625;60
10YNO-2--------T;2024-01-04 23:00:00+00:00;8.883;60
10YNO-2--------T;2024-01-05 00:00:00+00:00;8.309000000000001;60
10YNO-2--------T;2024-01-05 01:00:00+00:00;7.947;60
10YNO-2--------T;2024-01-05 02:00:00+00:00;7.539;60
10YNO-2--------T;2024-01-05 03:00:00+00:00;7.626;60
10YNO-2--------T;2024-01-05 04:00:00+00:00;7.523000000000001;60
10YNO-2--------T;2024-01-05 05:00:00+00:00;7.865;60
10YNO-2--------T;2024-01-05 06:00:00+00:00;8.447;60
10YNO-2--------T;2024-01-05 07:00:00+00:00;8.698;60
10YNO-2--------T;2024-01-05 08:00:00+00:00;9.218;60
10YNO-2--------T;2024-01-05 09:00:00+00:00;9.349;60
10YNO-2--------T;2024-01-05 10:00:00+00:00;9.537;60
10YNO-2--------T;2024-01-05 11:00:00+00:00;8.956;60
10YNO-2--------T;2024-01-05 12:00:00+00:00;8.889;60
10YNO-2--------T;2024-01-05 13:00:00+00:00;9.362;60
10YNO-2--------T;2024-01-05 14:00:00+00:00;9.715;60
10YNO-2--------T;2024-01-05 15:00:00+00:00;9.998000000000001;60
10YNO-2--------T;2024-01-05 16:00:00+00:00;10.426;60
10YNO-2--------T;2024-01-05 17:00:00+00:00;11.168000000000001;60
10YNO-2--------T;2024-01-05 18:00:00+00:00;10.095;60
10YNO-2--------T;2024-01-05 19:00:00+00:00;10.308;60
10YNO-2--------T;2024-01-05 20:00:00+00:00;9.7;60
10YNO-2--------T;2024-01-05 21:00:00+00:00;9.775;60
10YNO-2--------T;2024-01-05 22:00:00+00:00;8.939;60
10YNO-2--------T;2024-01-05 23:00:00+00:00;8.488;60
10YNO-2--------T;2024-01-06 00:00:00+00:00;8.277;60
10YNO-2--------T;2024-01-06 01:00:00+00:00;7.856;60
10YNO-2--------T;2024-01-06 02:00:00+00:00;7.534999999999999;60
10YNO-2--------T;2024-01-06 04:00:00+00:00;7.698;60
10YNO-2--------T;2024-01-06 05:00:00+00:00;7.75;60
10YNO-2--------T;2024-01-06 06:00:00+00:00;8.4;60
10YNO-2--------T;2024-01-06 07:00:00+00:00;9.087;60
10YNO-2--------T;2024-01-06 08:00:00+00:00;9.498000000000001;60
10YNO-2--------T;2024-01-06 09:00:00+00:00;10.041;60
10YNO-2--------T;2024-01-06 10:00:00+00:00;10.365;60
10YNO-2--------T;2024-01-06 11:00:00+00:00;10.233;60
10YNO-2--------T;2024-01-06 12:00:00+00:00;9.775;60
10YNO-2--------T;2024-01-06 13:00:00+00:00;9.551;60
10YNO-2--------T;2024-01-06 14:00:00+00:00;9.774;60
10YNO-2--------T;2024-01-06 15:00:00+00:00;10.283;60
10YNO-2--------T;2024-01-06 16:00:00+00:00;10.782;60
10YNO-2--------T;2024-01-06 17:00:00+00:00;10.693999999999999;60
10YNO-2--------T;2024-01-06 18:00:00+00:00;10.227;60
10YNO-2--------T;2024-01-06 19:00:00+00:00;9.498000000000001;60
10YNO-2--------T;2024-01-06 20:00:00+00:00;9.062999999999999;60
10YNO-2--------T;2024-01-06 21:00:00+00:00;8.934000000000001;60
10YNO-2--------T;2024-01-06 22:00:00+00:00;8.243;60
10YNO-2--------T;2024-01-06 23:00:00+00:00;8.615;60
10YNO-2--------T;2024-01-07 00:00:00+00:00;8.245999999999999;60
10YNO-2--------T;2024-01-07 01:00:00+00:00;7.922;60
10YNO-2--------T;2024-01-07 02:00:00+00:00;7.753;60
10YNO-2--------T;2024-01-07 03:00:00+00:00;7.552;60
10YNO-2--------T;2024-01-07 04:00:00+00:00;7.598000000000001;60
10YNO-2--------T;2024-01-07 05:00:00+00:00;7.7379999999999995;60
10YNO-2--------T;2024-01-07 06:00:00+00:00;8.037;60
10YNO-2--------T;2024-01-07 07:00:00+00:00;8.421;60
10YNO-2--------T;2024-01-07 08:00:00+00:00;8.757;60
10YNO-2--------T;2024-01-07 09:00:00+00:00;8.975;60
10YNO-2--------T;2024-01-07 10:00:00+00:00;9.199;60
10YNO-2--------T;2024-01-07 11:00:00+00:00;9.15;60
10YNO-2--------T;2024-01-07 12:00:00+00:00;8.751999999999999;60
10YNO-2--------T;2024-01-07 13:00:00+00:00;8.723;60
10YNO-2--------T;2024-01-07 14:00:00+00:00;9.064;60
10YNO-2--------T;2024-01-07 15:00:00+00:00;9.620999999999999;60
10YNO-2--------T;2024-01-07 16:00:00+00:00;10.427;60
10YNO-2--------T;2024-01-07 17:00:00+00:00;10.609;60
10YNO-2--------T;2024-01-07 18:00:00+00:00;10.355;60
10YNO-2--------T;2024-01-07 19:00:00+00:00;10.05;60
10YNO-2--------T;2024-01-07 20:00:00+00:00;9.331;60
10YNO-2--------T;2024-01-07 21:00:00+00:00;9.117;60
10YNO-2--------T;2024-01-07 22:00:00+00:00;8.386;60
10YNO-2--------T;2024-01-07 23:00:00+00:00;8.702;60
10YNO-2--------T;2024-01-08 00:00:00+00:00;8.431999999999999;60
10YNO-2--------T;2024-01-08 01:00:00+00:00;8.181999999999999;60
10YNO-2--------T;2024-01-08 02:00:00+00:00;8.062999999999999;60
10YNO-2--------T;2024-01-08 03:00:00+00:00;7.904000000000001;60
10YNO-2--------T;2024-01-08 04:00:00+00:00;8.209999999999999;60
10YNO-2--------T;2024-01-08 05:00:00+00:00;9.43;60
10YNO-2--------T;2024-01-08 06:00:00+00:00;10.787;60
10YNO-2--------T;2024-01-08 07:00:00+00:00;11.76;60
10YNO-2--------T;2024-01-08 08:00:00+00:00;12.073;60
10YNO-2--------T;2024-01-08 09:00:00+00:00;11.39;60
10YNO-2--------T;2024-01-08 10:00:00+00:00;10.138;60
10YNO-2--------T;2024-01-08 11:00:00+00:00;9.273;60
10YNO-2--------T;2024-01-08 12:00:00+00:00;9.251999999999999;60
10YNO-2--------T;2024-01-08 13:00:00+00:00;9.936;60
10YNO-2--------T;2024-01-08 14:00:00+00:00;10.485;60
10YNO-2--------T;2024-01-08 15:00:00+00:00;12.024;60
10YNO-2--------T;2024-01-08 16:00:00+00:00;12.541;60
10YNO-2--------T;2024-01-08 17:00:00+00:00;12.623999999999999;60
10YNO-2--------T;2024-01-08 18:00:00+00:00;11.857;60
10YNO-2--------T;2024-01-08 19:00:00+00:00;11.09;60
10YNO-2--------T;2024-01-08 20:00:00+00:00;9.985;60
10YNO-2--------T;2024-01-08 21:00:00+00:00;9.708;60
10YNO-2--------T;2024-01-08 22:00:00+00:00;8.883;60
10YNO-2--------T;2024-01-08 23:00:00+00:00;8.543000000000001;60
10YNO-2--------T;2024-01-09 00:00:00+00:00;8.434000000000001;60
10YNO-2--------T;2024-01-09 01:00:00+00:00;8.254000000000001;60
10YNO-2--------T;2024-01-09 02:00:00+00:00;8.17;60
10YNO-2--------T;2024-01-09 03:00:00+00:00;8.323;60
10YNO-2--------T;2024-01-09 04:00:00+00:00;8.634;60
10YNO-2--------T;2024-01-09 05:00:00+00:00;8.898;60
10YNO-2--------T;2024-01-09 06:00:00+00:00;9.488;60
10YNO-2--------T;2024-01-09 07:00:00+00:00;12.911000000000001;60
10YNO-2--------T;2024-01-09 08:00:00+00:00;11.716;60
