EIC;timestamp_utc;ct_kWh;minutes
10YSI-ELES-----O;2023-12-31 23:00:00+00:00;0.01;60
10YSI-ELES-----O;2024-01-01 00:00:00+00:00;0.001;60
10YSI-ELES-----O;2024-01-01 01:00:00+00:00;0.003;60
10YSI-ELES-----O;2024-01-01 02:00:00+00:00;0.0;60
10YSI-ELES-----O;2024-01-01 05:00:00+00:00;0.002;60
10YSI-ELES-----O;2024-01-01 06:00:00+00:00;0.0;60
10YSI-ELES-----O;2024-01-01 08:00:00+00:00;0.004;60
10YSI-ELES-----O;2024-01-01 09:00:00+00:00;0.006;60
10YSI-ELES-----O;2024-01-01 10:00:00+00:00;0.054000000000000006;60
10YSI-ELES-----O;2024-01-01 11:00:00+00:00;0.22400000000000003;60
10YSI-ELES-----O;2024-01-01 12:00:00+00:00;0.28300000000000003;60
10YSI-ELES-----O;2024-01-01 13:00:00+00:00;0.704;60
10YSI-ELES-----O;2024-01-01 14:00:00+00:00;2.8489999999999998;60
10YSI-ELES-----O;2024-01-01 15:00:00+00:00;4.747999999999999;60
10YSI-ELES-----O;2024-01-01 16:00:00+00:00;5.711;60
10YSI-ELES-----O;2024-01-01 17:00:00+00:00;5.891;60
10YSI-ELES-----O;2024-01-01 18:00:00+00:00;5.497;60
10YSI-ELES-----O;2024-01-01 19:00:00+00:00;4.861;60
10YSI-ELES-----O;2024-01-01 20:00:00+00:00;4.215;60
10YSI-ELES-----O;2024-01-01 21:00:00+00:00;4.734;60
10YSI-ELES-----O;2024-01-01 22:00:00+00:00;3.5549999999999997;60
10YSI-ELES-----O;2024-01-01 23:00:00+00:00;2.859;60
10YSI-ELES-----O;2024-01-02 00:00:00+00:00;1.936;60
10YSI-ELES-----O;2024-01-02 01:00:00+00:00;2.545;60
10YSI-ELES-----O;2024-01-02 02:00:00+00:00;1.5070000000000001;60
10YSI-ELES-----O;2024-01-02 03:00:00+00:00;0.906;60
10YSI-ELES-----O;2024-01-02 04:00:00+00:00;2.945;60
10YSI-ELES-----O;2024-01-02 05:00:00+00:00;4.369;60
10YSI-ELES-----O;2024-01-02 06:00:00+00:00;6.7299999999999995;60
10YSI-ELES-----O;2024-01-02 07:00:00+00:00;7.26;60
10YSI-ELES-----O;2024-01-02 08:00:00+00:00;7.148999999999999;60
10YSI-ELES-----O;2024-01-02 09:00:00+00:00;7.1290000000000004;60
10YSI-ELES-----O;2024-01-02 10:00:00+00:00;7.415000000000001;60
10YSI-ELES-----O;2024-01-02 11:00:00+00:00;7.662999999999999;60
10YSI-ELES-----O;2024-01-02 12:00:00+00:00;7.7299999999999995;60
10YSI-ELES-----O;2024-01-02 13:00:00+00:00;7.9319999999999995;60
10YSI-ELES-----O;2024-01-02 14:00:00+00:00;8.006;60
10YSI-ELES-----O;2024-01-02 15:00:00+00:00;8.261;60
10YSI-ELES-----O;2024-01-02 16:00:00+00:00;8.212;60
10YSI-ELES-----O;2024-01-02 17:00:00+00:00;7.766;60
10YSI-ELES-----O;2024-01-02 18:00:00+00:00;7.13;60
10YSI-ELES-----O;2024-01-02 19:00:00+00:00;5.929;60
