EIC;timestamp_utc;ct_kWh;minutes
10YSK-SEPS-----K;2023-12-31 23:00:00+00:00;0.01;60
10YSK-SEPS-----K;2024-01-01 00:00:00+00:00;0.001;60
10YSK-SEPS-----K;2024-01-01 01:00:00+00:00;0.005;60
10YSK-SEPS-----K;2024-01-01 02:00:00+00:00;0.001;60
10YSK-SEPS-----K;2024-01-01 05:00:00+00:00;0.004;60
10YSK-SEPS-----K;2024-01-01 06:00:00+00:00;0.001;60
10YSK-SEPS-----K;2024-01-01 07:00:00+00:00;0.0;60
10YSK-SEPS-----K;2024-01-01 08:00:00+00:00;0.004;60
10YSK-SEPS-----K;2024-01-01 09:00:00+00:00;0.006;60
10YSK-SEPS-----K;2024-01-01 10:00:00+00:00;0.054000000000000006;60
10YSK-SEPS-----K;2024-01-01 11:00:00+00:00;0.22400000000000003;60
10YSK-SEPS-----K;2024-01-01 12:00:00+00:00;0.344;60
10YSK-SEPS-----K;2024-01-01 13:00:00+00:00;1.1179999999999999;60
10YSK-SEPS-----K;2024-01-01 14:00:00+00:00;4.385;60
10YSK-SEPS-----K;2024-01-01 15:00:00+00:00;5.561;60
10YSK-SEPS-----K;2024-01-01 16:00:00+00:00;6.303;60
10YSK-SEPS-----K;2024-01-01 17:00:00+00:00;6.139;60
10YSK-SEPS-----K;2024-01-01 18:00:00+00:00;5.494;60
10YSK-SEPS-----K;2024-01-01 19:00:00+00:00;4.84;60
10YSK-SEPS-----K;2024-01-01 20:00:00+00:00;4.046;60
10YSK-SEPS-----K;2024-01-01 21:00:00+00:00;4.4590000000000005;60
10YSK-SEPS-----K;2024-01-01 22:00:00+00:00;3.5549999999999997;60
10YSK-SEPS-----K;2024-01-01 23:00:00+00:00;2.971;60
10YSK-SEPS-----K;2024-01-02 00:00:00+00:00;1.9760000000000002;60
10YSK-SEPS-----K;2024-01-02 01:00:00+00:00;2.856;60
10YSK-SEPS-----K;2024-01-02 02:00:00+00:00;1.6920000000000002;60
10YSK-SEPS-----K;2024-01-02 03:00:00+00:00;1.017;60
10YSK-SEPS-----K;2024-01-02 04:00:00+00:00;4.227;60
10YSK-SEPS-----K;2024-01-02 05:00:00+00:00;4.694;60
10YSK-SEPS-----K;2024-01-02 06:00:00+00:00;7.673;60
10YSK-SEPS-----K;2024-01-02 07:00:00+00:00;8.012;60
10YSK-SEPS-----K;2024-01-02 08:00:00+00:00;7.845999999999999;60
10YSK-SEPS-----K;2024-01-02 09:00:00+00:00;7.751;60
10YSK-SEPS-----K;2024-01-02 10:00:00+00:00;7.965999999999999;60
10YSK-SEPS-----K;2024-01-02 11:00:00+00:00;8.193000000000001;60
10YSK-SEPS-----K;2024-01-02 12:00:00+00:00;8.302;60
10YSK-SEPS-----K;2024-01-02 13:00:00+00:00;8.598;60
