Name,PV_File,WIND_File
ARA_AWV_Schwechat,PV_ARA_AWV_Schwechat_20150101-20241231_merra2_d96d7cca0e.csv,Wind_ARA_AWV_Schwechat_20150101-20241231_merra2_a6d7f2589a.csv
Asten_-_Regionalkläranlage,PV_Asten_-_Regionalkläranlage_20150101-20241231_merra2_a44fae4635.csv,Wind_Asten_-_Regionalkläranlage_20150101-20241231_merra2_a6d7f2589a.csv
ARA_Siggerwiesen,PV_ARA_Siggerwiesen_20150101-20241231_merra2_365d0c7928.csv,Wind_ARA_Siggerwiesen_20150101-20241231_merra2_a6d7f2589a.csv
Graz-Gössendorf,PV_Graz-Gössendorf_20150101-20241231_merra2_6639b0113f.csv,Wind_Graz-Gössendorf_20150101-20241231_merra2_a6d7f2589a.csv
Gratkorn,PV_Gratkorn_20150101-20241231_merra2_b30f8f1e31.csv,Wind_Gratkorn_20150101-20241231_merra2_a6d7f2589a.csv
Innsbruck,PV_Innsbruck_20150101-20241231_merra2_7db14877e1.csv,Wind_Innsbruck_20150101-20241231_merra2_a6d7f2589a.csv
Meiningen,PV_Meiningen_20150101-20241231_merra2_7db14877e1.csv,Wind_Meiningen_20150101-20241231_merra2_a6d7f2589a.csv
Hauptkläranlage_Wien,PV_Hauptkläranlage_Wien_20150101-20241231_merra2_a44fae4635.csv,Wind_Hauptkläranlage_Wien_20150101-20241231_merra2_a6d7f2589a.csv
Bruxelles-nord,PV_Bruxelles-nord_20150101-20241231_merra2_aa131a78fd.csv,Wind_Bruxelles-nord_20150101-20241231_merra2_a6d7f2589a.csv
LIEGE_OUPEYE,PV_LIEGE_OUPEYE_20150101-20241231_merra2_5f797a9ee1.csv,Wind_LIEGE_OUPEYE_20150101-20241231_merra2_a6d7f2589a.csv
UWWTP_Burgas,PV_UWWTP_Burgas_20150101-20241231_merra2_afebd23a41.csv,Wind_UWWTP_Burgas_20150101-20241231_merra2_a6d7f2589a.csv
UWWTP_Varna,PV_UWWTP_Varna_20150101-20241231_merra2_7ea3568ef5.csv,Wind_UWWTP_Varna_20150101-20241231_merra2_a6d7f2589a.csv
UWWTP_Plovdiv,PV_UWWTP_Plovdiv_20150101-20241231_merra2_ceccdc6c04.csv,Wind_UWWTP_Plovdiv_20150101-20241231_merra2_a6d7f2589a.csv
